timestamp,Frequency (Hz),SFU Power (dBm),SFU SNR (dB),FSW_SNR(dB),AIM Power,AIM SNR,AIM Offset,AIM Demod Lock,AIM Demod Acq Time
2016-12-22T16:04:15.680370,1750000000,-20,18,18.199329376200005,-32.836530612244886,17.89367346938775,124140.3469387755,True,0.0
2016-12-22T16:04:24.999903,1750000000,-20,19,19.210597991999997,-32.829795918367346,19.19387755102042,124140.3469387755,True,0.0
2016-12-22T16:04:34.337437,1750000000,-20,20,20.2295989991,-32.85959999999997,19.351200000000002,124145.0,True,0.0
2016-12-22T16:04:43.732974,1770000000,-20,8,8.042629241999997,-32.384000000000036,7.961199999999999,121901.4,True,0.0
2016-12-22T16:04:52.824494,1770000000,-20,9,9.047149658199999,-32.58399999999998,8.938799999999997,121749.4,True,0.0
2016-12-22T16:05:01.923014,1770000000,-20,10,10.008312225300003,-32.72440000000002,9.979999999999995,121906.0,True,0.0
2016-12-22T16:05:11.065537,1770000000,-20,11,11.023147582999997,-32.75061224489796,10.926122448979594,121901.30612244898,True,0.0
2016-12-22T16:05:20.399071,1770000000,-20,12,12.069721221900004,-32.81142857142855,11.815918367346946,121906.0,True,0.0
2016-12-22T16:05:29.696603,1770000000,-20,13,13.072059631400002,-32.85142857142859,12.742244897959175,121901.30612244898,True,0.0
2016-12-22T16:05:39.028137,1770000000,-20,14,14.053371429499997,-32.97560000000001,13.860399999999997,121906.0,True,0.0
2016-12-22T16:05:48.371671,1770000000,-20,15,15.072666168200001,-32.9757142857143,14.817755102040813,121906.0,True,0.0
2016-12-22T16:05:57.727206,1770000000,-20,16,16.0334854126,-33.01799999999999,15.593200000000003,121906.0,True,0.0
2016-12-22T16:06:07.007737,1770000000,-20,17,17.182693481500003,-33.03938775510201,16.798163265306115,121906.0,True,0.0
2016-12-22T16:06:16.273267,1770000000,-20,18,18.220691680899996,-33.05020408163262,17.420000000000005,121906.0,True,0.0
2016-12-22T16:06:25.573799,1770000000,-20,19,19.2115631104,-33.04408163265304,18.538163265306125,121906.0,True,0.0
2016-12-22T16:06:34.842329,1770000000,-20,20,20.2081451416,-33.05239999999998,20.160799999999995,121901.4,True,0.0
2016-12-22T16:06:44.245867,1790000000,-20,8,8.027797698900002,-32.326799999999984,7.9327999999999985,129071.88,True,0.0
2016-12-22T16:06:53.409391,1790000000,-20,9,9.0382499695,-32.455306122448995,8.900816326530611,129076.3469387755,True,0.0
2016-12-22T16:07:02.530913,1790000000,-20,10,10.024543762200004,-32.52799999999999,9.898800000000001,129076.44,True,0.0
