timestamp,Frequency (Hz),SFU SNR (dB),FSW POWER(dBm),FSW SNR (dB),FSW OFFSET (Hz)
2016-12-16T10:09:51.085014,610000000,8,-45.9248313904,9.23709487915,-69072.0703125
2016-12-16T10:09:58.664448,610000000,9,-46.0728721619,9.96031188965,2804.65112305
2016-12-16T10:10:06.245881,610000000,10,-46.0770225525,10.694981575,73.0495834351
2016-12-16T10:10:13.789313,610000000,11,-46.2035522461,11.4073286057,107.519989014
2016-12-16T10:10:21.087730,610000000,12,-46.2759399414,12.2519102097,111.403747559
2016-12-16T10:10:28.649163,610000000,13,-46.2571105957,13.1746196747,87.7636489868
2016-12-16T10:10:35.947580,610000000,14,-46.3471488953,14.0916976929,105.354782104
2016-12-16T10:10:43.487011,610000000,15,-46.3483581543,15.0314922333,99.7165145874
2016-12-16T10:10:50.790429,610000000,16,-46.3883094788,16.0320930481,104.701919556
2016-12-16T10:10:58.204853,610000000,17,-46.3862380981,16.9980449677,120.973075867
2016-12-16T10:11:05.589276,610000000,18,-46.4251670837,17.9966583252,110.06955719
2016-12-16T10:11:12.949697,610000000,19,-46.390007019,18.9610996246,108.851264954
2016-12-16T10:11:20.451126,610000000,20,-46.423412323,19.8792476654,115.972831726
2016-12-16T10:11:28.199569,630000000,8,-45.9215621948,9.24311637878,19857.7519531
2016-12-16T10:11:35.717999,630000000,9,-45.9833526611,9.97679805756,1357.39221191
2016-12-16T10:11:43.170425,630000000,10,-46.0830192566,10.638502121,136.683227539
2016-12-16T10:11:50.468843,630000000,11,-46.1695861816,11.4374656677,83.248878479
2016-12-16T10:11:57.753259,630000000,12,-46.2289924622,12.2472677231,129.070281982
2016-12-16T10:12:05.256688,630000000,13,-46.2946929932,13.1439638138,72.6296081543
2016-12-16T10:12:12.624110,630000000,14,-46.3122138977,14.0905361176,112.668693542
2016-12-16T10:12:19.970530,630000000,15,-46.3485069275,15.0339279175,110.171279907
2016-12-16T10:12:27.257947,630000000,16,-46.3836555481,15.9988441467,123.167129517
2016-12-16T10:12:34.706373,630000000,17,-46.4030570984,17.0393390656,110.543121338
2016-12-16T10:12:42.040792,630000000,18,-46.4299125671,18.0191287994,110.873184204
2016-12-16T10:12:49.500219,630000000,19,-46.4395217896,18.9962749481,103.118270874
2016-12-16T10:12:56.908643,630000000,20,-46.4293060303,20.00207901,102.733001709
2016-12-16T10:13:04.997105,650000000,8,-46.2066841125,9.22866439819,78576.046875
2016-12-16T10:13:12.497534,650000000,9,-46.2941017151,9.94565868378,20878.4960938
2016-12-16T10:13:20.260978,650000000,10,-46.3901481628,10.6163778305,90.0760955811
2016-12-16T10:13:27.613399,650000000,11,-46.4759902954,11.3762397766,55.8604736328
2016-12-16T10:13:35.126829,650000000,12,-46.4779891968,12.2082796097,130.660369873
2016-12-16T10:13:42.500250,650000000,13,-46.5425071716,13.0882797241,128.479507446
2016-12-16T10:13:49.811669,650000000,14,-46.5698890686,13.9811811447,123.215270996
2016-12-16T10:13:57.429104,650000000,15,-46.5874061584,14.9659347534,134.017532349
2016-12-16T10:14:04.902532,650000000,16,-46.6433677673,15.8964490891,137.106369019
2016-12-16T10:14:12.280954,650000000,17,-46.6379318237,16.8538646698,107.644287109
2016-12-16T10:14:19.629374,650000000,18,-46.6434936523,17.8092575073,115.806900024
2016-12-16T10:14:26.946793,650000000,19,-46.6631355286,18.7316360474,123.84928894
